t1,t2,prop_low,prop_med,prop_high,recall_high,fp_rate_high,crit_in_high,non_in_high,prop_ok,fp_ok,p1,p2,reason
0.0193053968250751,0.23343122482299777,0.5466666666666666,0.32,0.13333333333333333,0.2,0.12307692307692308,2,8,False,True,56,87,
0.0193053968250751,0.26595532894134527,0.5466666666666666,0.3333333333333333,0.12,0.2,0.1076923076923077,2,7,False,True,56,88,
0.0193053968250751,0.2861774861812591,0.5466666666666666,0.3333333333333333,0.12,0.2,0.1076923076923077,2,7,False,True,56,89,
0.0193053968250751,0.4081761717796342,0.5466666666666666,0.3466666666666667,0.10666666666666667,0.2,0.09230769230769231,2,6,False,True,56,90,
0.0193053968250751,0.5290481948852543,0.5466666666666666,0.36,0.09333333333333334,0.2,0.07692307692307693,2,5,False,True,56,91,
0.0193053968250751,0.6140420651435852,0.5466666666666666,0.37333333333333335,0.08,0.2,0.06153846153846154,2,4,False,True,56,92,
0.0193053968250751,0.6444703304767612,0.5466666666666666,0.37333333333333335,0.08,0.2,0.06153846153846154,2,4,False,True,56,93,
0.0193053968250751,0.7295469760894778,0.5466666666666666,0.38666666666666666,0.06666666666666667,0.2,0.046153846153846156,2,3,False,True,56,94,
0.0193053968250751,0.7957825124263763,0.5466666666666666,0.4,0.05333333333333334,0.2,0.03076923076923077,2,2,False,True,56,95,
0.0193053968250751,0.808075954914093,0.5466666666666666,0.41333333333333333,0.04,0.2,0.015384615384615385,2,1,False,True,56,96,
0.0193053968250751,0.8108203637599946,0.5466666666666666,0.41333333333333333,0.04,0.2,0.015384615384615385,2,1,False,True,56,97,
0.0193053968250751,0.8775306439399714,0.5466666666666666,0.4266666666666667,0.02666666666666667,0.1,0.015384615384615385,1,1,False,True,56,98,
0.0193053968250751,0.9468697357177736,0.5466666666666666,0.44,0.013333333333333334,0.0,0.015384615384615385,0,1,False,True,56,99,
0.019638435654342118,0.17967018038034435,0.5733333333333334,0.26666666666666666,0.16,0.2,0.15384615384615385,2,10,False,False,57,85,
0.019638435654342118,0.20275903761386868,0.5733333333333334,0.28,0.14666666666666667,0.2,0.13846153846153847,2,9,False,True,57,86,
0.019638435654342118,0.23343122482299777,0.5733333333333334,0.29333333333333333,0.13333333333333333,0.2,0.12307692307692308,2,8,False,True,57,87,
